French,English
histoire,history
chercher,search
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
longtemps,long time
vont,will
pendant,while
parle,speak
compris,understood
savais,knew
étaient,were
pourrais,could
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
perdu,lost
côté,side
vieux,old
sois,be
tiens,here
matin,morning
point,point
venu,came
devant,in front of
vers,towards
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
boulot,job
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
